Time,R Scale 1,R Scale 2,G Speed,SV,Longitude,Latitude,raw1,raw2,raw3,raw4
14:09:02.511,78,50,0,12,120.6862869,24.3187351,3091763,0,1151190,0
14:09:02.658,78,50,0,12,120.6862869,24.3187351,3091743,0,1150663,0
14:09:02.708,78,50,0,12,120.6862869,24.3187351,3085997,0,1151471,0
14:09:02.806,77,50,0,12,120.6862869,24.3187351,3082994,0,1151980,0
14:09:02.909,78,50,0,12,120.6862869,24.3187332,3092835,0,1150627,0
14:09:03.008,77,50,0,12,120.6862869,24.3187332,3079386,0,1151487,0
14:09:03.112,77,50,0,12,120.6862869,24.3187332,3079386,0,1151487,0
14:09:03.239,78,50,0,12,120.6862869,24.3187332,3094100,0,1151410,0
14:09:03.305,78,50,0,12,120.6862869,24.3187332,3094100,0,1151410,0
14:09:03.453,78,50,0,12,120.6862869,24.3187332,3085164,0,1151754,0
14:09:03.503,78,50,0,12,120.6862869,24.3187332,3085164,0,1151754,0
14:09:03.638,77,50,0,11,120.6862869,24.3187332,3082940,0,1151642,0
14:09:03.703,78,50,0,11,120.6862869,24.3187332,3085683,0,1151152,0
14:09:03.801,78,50,0,11,120.6862869,24.3187332,3093439,0,1151664,0
14:09:03.907,77,50,0,11,120.6862869,24.3187332,3075991,0,1151588,0
14:09:04.034,78,50,0,11,120.6862946,24.3187313,3090618,0,1151797,0
14:09:04.115,78,50,0,11,120.6862946,24.3187313,3085719,0,1151175,0
14:09:04.291,78,50,0,11,120.6862946,24.3187313,3090493,0,1151567,0
14:09:04.309,78,50,0,11,120.6862946,24.3187313,3090493,0,1151567,0
14:09:04.459,78,50,0,11,120.6862946,24.3187313,3091906,0,1151892,0
14:09:04.509,77,50,0,11,120.6862946,24.3187313,3077271,0,1151853,0
14:09:04.658,77,50,0,11,120.6862946,24.3187313,3072899,0,1150968,0
14:09:04.712,78,50,0,11,120.6862946,24.3187313,3091153,0,1151891,0
14:09:04.861,77,50,0,11,120.6862946,24.3187313,3081768,0,1151471,0
14:09:04.911,78,50,0,11,120.6862946,24.3187313,3091474,0,1151737,0
14:09:05.060,78,50,0,11,120.6862946,24.3187313,3089981,0,1151202,0
14:09:05.110,78,50,0,11,120.6862946,24.3187313,3089981,0,1151202,0
14:09:05.267,78,50,0,10,120.6862946,24.3187294,3095429,0,1151448,0
14:09:05.300,78,50,0,10,120.6862946,24.3187294,3095429,0,1151448,0
14:09:05.469,78,50,0,10,120.6862946,24.3187294,3084920,0,1151702,0
14:09:05.503,77,50,0,10,120.6862946,24.3187294,3083950,0,1151090,0
14:09:05.653,78,50,0,10,120.6862946,24.3187294,3090644,0,1151341,0
14:09:05.703,78,50,0,10,120.6862946,24.3187294,3095767,0,1152405,0
14:09:05.803,78,50,0,10,120.6862946,24.3187294,3093763,0,1150887,0
14:09:05.906,78,50,0,10,120.6862946,24.3187294,3093763,0,1150887,0
14:09:06.004,78,50,0,10,120.6862946,24.3187294,3084841,0,1150751,0
14:09:06.103,78,50,0,10,120.6862946,24.3187294,3090256,0,1151712,0
14:09:06.204,78,50,0,10,120.6862946,24.3187275,3090256,0,1151712,0
14:09:06.303,77,50,0,10,120.6862946,24.3187275,3078133,0,1151387,0
14:09:06.400,78,50,0,10,120.6862946,24.3187275,3094274,0,1151758,0
14:09:06.547,77,50,0,10,120.6862946,24.3187256,3083164,0,1151170,0
14:09:06.613,77,50,0,10,120.6862946,24.3187256,3082888,0,1151292,0
14:09:06.761,78,50,0,9,120.6862946,24.3187256,3084809,0,1151010,0
14:09:06.810,77,50,0,9,120.6862946,24.3187256,3079320,0,1151311,0
14:09:06.909,77,50,0,9,120.6862946,24.3187256,3075725,0,1151358,0
14:09:07.014,77,50,0,9,120.6862946,24.3187256,3075725,0,1151358,0
14:09:07.175,78,50,0,9,120.6862946,24.3187256,3087838,0,1151622,0
14:09:07.209,78,50,0,9,120.6862946,24.3187256,3087838,0,1151622,0
14:09:07.344,78,50,0,9,120.6862946,24.3187256,3089769,0,1150913,0
14:09:07.410,77,50,0,9,120.6862946,24.3187256,3084606,0,1151669,0
14:09:07.536,77,50,0,9,120.6862946,24.3187237,3078044,0,1151933,0
14:09:07.609,77,50,0,9,120.6862946,24.3187237,3080176,0,1150641,0
14:09:07.760,78,50,0,9,120.6862946,24.3187237,3095069,0,1151047,0
14:09:07.809,77,50,0,9,120.6862946,24.3187237,3079560,0,1152057,0
14:09:07.909,78,50,0,9,120.6862946,24.3187237,3092673,0,1151692,0
14:09:08.010,78,50,0,9,120.6862946,24.3187237,3092673,0,1151692,0
14:09:08.164,78,50,0,9,120.6862946,24.3187218,3095404,0,1151654,0
14:09:08.214,78,50,0,9,120.6862946,24.3187218,3089039,0,1151794,0
14:09:08.360,78,50,0,9,120.6862946,24.3187218,3091340,0,1151952,0
14:09:08.410,78,50,0,9,120.6862946,24.3187218,3091340,0,1151952,0
14:09:08.561,78,50,0,9,120.6862946,24.3187199,3091060,0,1151446,0
14:09:08.611,78,50,0,9,120.6862946,24.3187199,3091060,0,1151446,0
14:09:08.701,78,50,0,9,120.6862946,24.3187199,3090705,0,1151197,0
14:09:08.808,78,50,0,9,120.6862946,24.3187199,3085794,0,1151809,0
14:09:08.909,78,50,0,9,120.6862946,24.3187199,3086722,0,1151754,0
14:09:09.003,78,50,0,9,120.6862946,24.3187199,3086722,0,1151754,0
14:09:09.101,78,50,0,9,120.6862946,24.3187199,3085839,0,1151256,0
14:09:09.206,78,50,0,9,120.6862946,24.3187180,3085839,0,1151256,0
14:09:09.305,77,50,0,9,120.6862946,24.3187180,3084238,0,1151325,0
14:09:09.403,77,50,0,10,120.6862946,24.3187180,3084238,0,1151325,0
14:09:09.501,78,50,0,10,120.6862946,24.3187180,3090177,0,1151318,0
14:09:09.609,77,50,0,10,120.6863098,24.3187180,3079927,0,1151625,0
14:09:09.764,78,50,0,10,120.6863098,24.3187180,3087604,0,1151225,0
14:09:09.815,78,50,0,10,120.6863098,24.3187180,3087604,0,1151225,0
14:09:09.971,78,50,0,10,120.6863098,24.3187180,3085088,0,1151925,0
14:09:10.014,78,50,0,10,120.6863098,24.3187180,3085088,0,1151925,0
14:09:10.171,78,50,0,10,120.6863098,24.3187180,3087535,0,1151753,0
14:09:10.205,77,50,0,10,120.6863098,24.3187180,3082247,0,1151703,0
14:09:10.363,78,50,0,10,120.6863098,24.3187180,3086878,0,1151417,0
14:09:10.412,78,50,0,10,120.6863098,24.3187180,3086878,0,1151417,0
14:09:10.530,78,50,0,10,120.6863098,24.3187160,3088760,0,1151503,0
14:09:10.611,78,50,0,10,120.6863098,24.3187160,3091017,0,1151236,0
14:09:10.760,78,50,0,10,120.6863098,24.3187160,3090455,0,1151680,0
14:09:10.810,78,50,0,10,120.6863098,24.3187160,3090455,0,1151680,0
14:09:10.960,77,50,0,10,120.6863098,24.3187160,3081107,0,1152254,0
14:09:11.009,78,50,0,10,120.6863098,24.3187160,3088931,0,1151304,0
14:09:11.167,77,50,0,10,120.6863098,24.3187160,3078195,0,1153007,0
14:09:11.217,77,50,0,10,120.6863098,24.3187160,3067812,0,1156947,0
14:09:11.350,78,50,0,10,120.6863098,24.3187160,3089307,0,1163027,0
14:09:11.415,78,51,0,10,120.6863098,24.3187160,3091946,0,1172569,0
14:09:11.554,77,51,0,9,120.6863098,24.3187160,3083748,0,1174566,0
14:09:11.603,77,51,0,9,120.6863098,24.3187160,3083748,0,1174566,0
14:09:11.735,77,51,0,9,120.6863098,24.3187160,3074391,0,1174954,0
14:09:11.803,78,51,0,9,120.6863098,24.3187160,3091527,0,1176689,0
14:09:11.901,78,51,0,9,120.6863098,24.3187160,3091008,0,1175625,0
14:09:12.003,77,51,0,9,120.6863098,24.3187160,3075829,0,1175192,0
14:09:12.153,78,51,0,9,120.6863098,24.3187160,3088941,0,1175738,0
14:09:12.203,78,51,0,9,120.6863098,24.3187160,3085919,0,1176009,0
14:09:12.352,77,51,0,9,120.6863098,24.3187160,3082237,0,1175055,0
14:09:12.402,78,51,0,9,120.6863098,24.3187160,3091694,0,1174405,0
14:09:12.549,77,51,0,9,120.6863098,24.3187160,3082902,0,1173479,0
14:09:12.615,78,51,0,9,120.6863098,24.3187160,3086916,0,1171726,0
14:09:12.712,78,51,0,9,120.6863098,24.3187160,3094392,0,1171096,0
